GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
176         1600        0.480       0.289       0.162       
177         1600        0.480       0.278       0.164       
178         1600        0.480       0.288       0.162       
179         1600        0.485       0.289       0.161       
180         1600        0.485       0.284       0.164       
181         1600        0.485       0.289       0.161       
182         1600        0.480       0.288       0.163       
183         1600        0.480       0.285       0.165       
184         1600        0.480       0.292       0.165       
185         1600        0.480       0.294       0.164       
186         1600        0.480       0.294       0.167       
187         1600        0.481       0.300       0.165       
188         1600        0.481       0.306       0.161       
189         1600        0.481       0.306       0.161       
190         1600        0.481       0.291       0.165       
191         1600        0.481       0.294       0.167       
192         1600        0.481       0.299       0.166       
193         1600        0.481       0.310       0.161       
194         1600        0.481       0.304       0.167       
195         1600        0.482       0.303       0.169       
196         1600        0.481       0.310       0.168       
197         1600        0.486       0.310       0.164       
198         1600        0.486       0.302       0.170       
199         1600        0.486       0.307       0.165       
200         1600        0.492       0.307       0.167       
201         1600        0.492       0.306       0.168       
202         1600        0.492       0.306       0.170       
203         1600        0.492       0.311       0.170       
204         1600        0.492       0.311       0.168       
205         1600        0.492       0.317       0.167       
206         1600        0.492       0.310       0.173       
207         1600        0.494       0.311       0.171       
208         1600        0.497       0.317       0.171       
209         1600        0.497       0.320       0.169       
210         1600        0.497       0.313       0.173       
211         1600        0.497       0.323       0.170       
212         1600        0.500       0.326       0.167       
213         1600        0.500       0.323       0.172       
214         1600        0.500       0.322       0.176       
215         1600        0.500       0.320       0.174       
216         1600        0.500       0.329       0.168       
217         1600        0.501       0.326       0.172       
218         1600        0.501       0.326       0.171       
219         1600        0.501       0.318       0.177       
220         1600        0.501       0.327       0.171       
221         1600        0.501       0.324       0.175       
222         1600        0.501       0.325       0.175       
223         1600        0.501       0.332       0.171       
224         1600        0.501       0.326       0.176       
225         1600        0.501       0.323       0.175       
226         1600        0.501       0.324       0.174       
227         1600        0.502       0.325       0.177       
228         1600        0.511       0.326       0.176       
229         1600        0.511       0.331       0.175       
230         1600        0.511       0.326       0.179       
231         1600        0.506       0.331       0.174       
232         1600        0.506       0.332       0.178       
233         1600        0.506       0.334       0.172       
234         1600        0.506       0.328       0.175       
235         1600        0.513       0.330       0.175       
236         1600        0.513       0.333       0.175       
237         1600        0.554       0.333       0.177       
238         1600        0.554       0.331       0.182       
239         1600        0.554       0.329       0.179       
240         1600        0.554       0.332       0.179       
241         1600        0.554       0.336       0.176       
242         1600        0.554       0.339       0.176       
243         1600        0.557       0.322       0.182       
244         1600        0.557       0.331       0.184       
245         1600        0.557       0.336       0.183       
246         1600        0.558       0.338       0.180       
247         1600        0.558       0.329       0.186       
248         1600        0.558       0.333       0.182       
249         1600        0.558       0.331       0.182       
250         1600        0.558       0.332       0.181       
251         1600        0.558       0.328       0.183       
252         1600        0.558       0.333       0.184       
253         1600        0.558       0.339       0.184       
254         1600        0.558       0.334       0.186       
255         1600        0.565       0.331       0.186       
256         1600        0.565       0.341       0.183       
257         1600        0.565       0.325       0.192       
258         1600        0.565       0.330       0.190       
259         1600        0.563       0.330       0.189       
260         1600        0.563       0.328       0.189       
261         1600        0.561       0.342       0.185       
262         1600        0.560       0.335       0.192       
263         1600        0.563       0.330       0.192       
264         1600        0.563       0.329       0.191       
265         1600        0.563       0.322       0.192       
266         1600        0.563       0.327       0.193       
267         1600        0.589       0.331       0.194       
268         1600        0.589       0.325       0.197       
269         1600        0.589       0.332       0.197       
270         1600        0.589       0.321       0.198       
271         1600        0.589       0.315       0.202       
272         1600        0.589       0.334       0.195       
273         1600        0.596       0.331       0.203       
274         1600        0.596       0.320       0.204       
275         1600        0.624       0.327       0.203       
276         1600        0.624       0.317       0.206       
277         1600        0.624       0.325       0.206       
278         1600        0.624       0.326       0.206       
279         1600        0.624       0.327       0.208       
280         1600        0.624       0.322       0.213       
